Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Acacia_rhodophloia,x,0,0.76,0.98,0.87
Acacia_proiantha,x,0,1,0.97,0.985
Acacia_camptoclada,x,0,1,0.94,0.97
Acacia_victoriae,13,0,1,1,1
Acacia_confluens,x,0,0.76,0.98,0.87
Acacia_falcata,13,0,1,1,1
Acacia_adoxa,x,0,1,0.98,0.99
Acacia_acradenia,x,0,1,0.96,0.98
Acacia_leucolobia,x,0,1,0.98,0.99
Acacia_didyma,x,0,1,0.97,0.985
Acacia_assimilis,x,0,0.97,0.97,0.97
Acacia_heterophylla,26,1,0.98,1,0.99
Acacia_eriopoda,x,0,1,0.94,0.97
Acacia_balsamea,x,1,0.95,0.98,0.965
Acacia_pubifolia,x,0,0.91,0.95,0.93
Acacia_nanodealbata,x,0,1,0.96,0.98
Acacia_acoma,x,0,1,0.96,0.98
Acacia_adinophylla,x,0,1,0.93,0.965
Acacia_saligna,13,0,1,1,1
Acacia_patagiata,x,0,1,0.94,0.97
Acacia_ashbyae,x,0,1,0.98,0.99
Acacia_aureocrinita,x,0,1,1,1
Acacia_brachyphylla,x,0,0.97,0.95,0.96
Acacia_podalyriifolia,13,0,1,1,1
Acacia_marramamba,x,0,1,0.87,0.935
Acacia_elata,13,0,1,1,1
Acacia_pravissima,x,0,1,0.99,0.995
Acacia_gonophylla,x,0,1,0.96,0.98
Acacia_minyura,x,0,0.62,0.97,0.795
Acacia_aphylla,x,0,1,0.92,0.96
Acacia_microcarpa,x,0,0.99,0.98,0.985
Acacia_mangium,13,0,1,1,1
Acacia_arida,x,0,1,0.98,0.99
Acacia_neurophylla,x,0,1,0.98,0.99
Acacia_filicifolia,x,0,1,1,1
Acacia_elongata,13,0,1,1,1
Acacia_benthamii,26,1,1,1,1
Acacia_spinescens,13,0,1,1,1
Acacia_umbraculiformis,x,0,1,0.97,0.985
Acacia_ramiflora,x,0,1,0.97,0.985
Acacia_producta,x,0,1,0.97,0.985
Acacia_incurva,x,0,1,0.91,0.955
Acacia_caraniana,x,0,0.83,0.97,0.9
Acacia_auronitens,x,1,0.46,0.95,0.705
Acacia_paraneura,x,0,0.62,0.95,0.785
Acacia_brachybotrya,13,0,1,1,1
Acacia_parvipinnula,x,0,1,0.98,0.99
Acacia_furcatispina,13,0,1,1,1
Acacia_calantha,x,0,1,0.92,0.96
Acacia_maitlandii,x,0,1,0.91,0.955
Acacia_ptychophylla,x,0,1,0.95,0.975
Acacia_blakelyi,x,0,1,0.98,0.99
Acacia_latipes,x,NA,0.5,0.96,0.73
Acacia_alexandri,x,0,1,0.97,0.985
Acacia_menzelii,x,0,1,0.95,0.975
Acacia_baeuerlenii,x,0,1,1,1
Acacia_cedilloi,x,0,0.89,0.97,0.93
Acacia_leptoclada,x,0,1,0.97,0.985
Acacia_sibina,x,0,1,0.97,0.985
Acacia_shuttleworthii,x,0,1,0.96,0.98
Acacia_siculiformis,x,0,1,0.9,0.95
Acacia_oshanesii,x,0,1,0.98,0.99
Acacia_maidenii,13,0,1,0.99,0.995
Acacia_melvillei,x,0,0.78,0.99,0.885
Acacia_consobrina,x,0,1,0.97,0.985
Acacia_concurrens,13,0,1,1,1
Acacia_gracillima,x,0,1,0.97,0.985
Acacia_mollifolia,x,0,1,0.98,0.99
Acacia_orthocarpa,13,0,1,1,1
Acacia_semitrullata,x,0,1,0.91,0.955
Acacia_papyrocarpa,19,1,0.96,1,0.98
Acacia_maconochieana,x,0,0.78,0.98,0.88
Acacia_beckleri,x,0,1,0.97,0.985
Acacia_koa,26,1,0.98,1,0.99
Acacia_imitans,x,0,1,0.94,0.97
Acacia_applanata,x,0,1,1,1
Acacia_brunioides,x,0,1,0.97,0.985
Acacia_sessilispica,x,0,1,0.96,0.98
Acacia_spongolitica,x,0,1,0.98,0.99
Acacia_blayana,x,0,1,0.96,0.98
Acacia_karina,x,0,1,0.97,0.985
Acacia_loderi,x,0,1,0.97,0.985
Acacia_dealbata,13,0,1,1,1
Acacia_crassicarpa,13,0,1,1,1
Acacia_mucronata_subsp._longifolia,x,0,1,1,1
Acacia_Agiraffae,x,0,1,0.98,0.99
Acacia_barringtonensis,x,0,1,0.98,0.99
Acacia_tessellata,x,0,1,1,1
Acacia_meisneri,x,0,1,0.96,0.98
Acacia_gentlei,x,0,0.88,0.94,0.91
Acacia_crassa,13,0,1,1,1
Acacia_verticillata,13,0,1,1,1
Acacia_gittinsii,x,0,1,0.96,0.98
Acacia_spirorbis,x,0,1,1,1
Acacia_hamulosa,x,0,0.86,0.97,0.915
Acacia_gelasina,x,0,1,0.96,0.98
Acacia_xanthina,x,0,1,0.99,0.995
Acacia_rhetinocarpa,x,0,1,0.96,0.98
Acacia_pellita,x,0,1,0.99,0.995
Acacia_megaladena,x,0,1,0.97,0.985
Acacia_campylophylla,x,0,0.98,1,0.99
Acacia_calcicola,x,0,1,0.96,0.98
Acacia_venulosa,x,0,1,1,1
Acacia_armitii,x,0,1,0.98,0.99
Acacia_jucunda,x,0,1,1,1
Acacia_hexaneura,x,0,1,0.97,0.985
Acacia_rossei,x,0,1,0.95,0.975
Acacia_leiocalyx,13,0,1,1,1
Acacia_cuspidifolia,x,0,1,0.95,0.975
Acacia_brassii,x,0,1,0.98,0.99
Acacia_pentadenia,x,0,1,0.95,0.975
Acacia_macradenia,x,0,1,0.97,0.985
Acacia_tumida,x,0,1,0.97,0.985
Acacia_aulacophylla,x,0,0.97,0.97,0.97
Acacia_jacksonioides,x,0,1,0.93,0.965
