Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Allium_parvum,7,0,1,0.99,0.995
Allium_inaequale,x,1,0.82,0.95,0.885
Allium_flavum_subsp._tauricum,8,0,1,1,1
Allium_cupuliferum,8,0,1,1,1
Allium_munzii,7,0,1,0.99,0.995
Allium_synnotii,40,1,1,1,1
Allium_sewerzowii,8,0,1,1,1
Allium_dodecadontum,8,0,1,1,1
Allium_polyrhizum,16,1,1,1,1
Allium_oreophilum,8,0,1,1,1
Allium_gypsaceum,8,0,1,1,1
Allium_brevistylum,7,0,1,0.99,0.995
Allium_ampeloprasum,16,1,1,1,1
Allium_lipskyanum,8,0,1,1,1
Allium_ovalifolium_var._cordifolium,x,0,0.85,1,0.925
Allium_stellatum,7,0,1,0.99,0.995
Allium_ochotense,16,1,1,1,1
Allium_haematochiton,7,0,1,0.99,0.995
Allium_trautvetterianum,8,0,1,1,1
Allium_parvulum,x,NA,0.86,0.93,0.895
Allium_tashkenticum,8,0,1,1,1
Allium_longifolium,7,0,1,0.99,0.995
Allium_lemmonii,7,0,1,0.99,0.995
Allium_eusperma,x,1,1,1,1
Allium_protensum,16,1,0.99,1,0.995
Allium_pseudoampeloprasum,8,0,1,1,1
Allium_yosemitense,7,0,1,0.99,0.995
Allium_spirale,16,1,1,1,1
Allium_lineare,8,0,1,1,1
Allium_cratericola,7,0,1,0.99,0.995
Allium_gunibicum,8,0,1,1,1
Allium_tuolumnense,7,0,1,0.99,0.995
Allium_giganteum,8,0,1,1,1
Allium_darwasicum,8,0,1,1,1
Allium_validum,28,1,1,0.99,0.995
Allium_dichlamydeum,7,0,1,0.99,0.995
Allium_oreoprasum,8,0,1,1,1
Allium_minus,8,0,1,1,1
Allium_flavovirens,x,1,0.86,0.92,0.89
Allium_bisceptrum,7,0,1,0.99,0.995
Allium_akaka,8,0,1,1,1
Allium_rupestristepposum,x,0,0.98,1,0.99
Allium_atroviolaceum,12,1,1,1,1
Allium_thunbergii_var._deltoides,8,0,1,1,1
Allium_pyrenaicum,8,0,1,1,1
Allium_howellii,7,0,1,0.99,0.995
Allium_alexeianum,8,0,1,1,1
Allium_verticillatum,8,0,1,1,1
Allium_tribracteatum,7,0,1,0.99,0.995
Allium_oliganthum,8,0,1,1,1
Allium_aschersonianum,8,0,1,1,1
Allium_derderianum,8,0,1,1,1
Allium_geyeri_var._tenerum,14,1,1,0.99,0.995
Allium_anisopodium,8,0,1,1,1
Allium_pseudobodeanum,x,0,1,1,1
Allium_chitralicum,8,0,1,1,1
Allium_speculae,7,0,1,0.99,0.995
Allium_viridiflorum,8,0,1,1,1
Allium_maximowiczii,8,0,1,1,1
Allium_shevockii,7,0,1,0.99,0.995
Allium_chrysantherum,8,0,1,1,1
Allium_listera,8,0,1,1,1
Allium_decipiens,8,0,1,1,1
Allium_heldreichii,8,0,1,1,1
Allium_drepanophyllum,x,0,0.98,0.99,0.985
Allium_nevadense,7,0,1,1,1
Allium_madidum,14,1,1,0.99,0.995
Allium_bidentatum,16,1,1,1,1
Allium_sharsmithiae,7,0,1,0.99,0.995
