Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Begonia_macduffieana,x,NA,0.44,0.79,0.615
Begonia_kisuluana,x,1,1,0.86,0.93
Begonia_strigosa,x,NA,0.45,0.81,0.63
Begonia_austroguangxiensis,x,0,0.67,0.84,0.755
Begonia_foxworthyi,x,0,0.67,0.81,0.74
Begonia_alpina,x,0,0.67,0.84,0.755
Begonia_silhetensis,x,NA,0.4,0.86,0.63
Begonia_prismatocarpa,16,1,0.54,0.89,0.715
Begonia_wollnyi,14,0,0.67,0.91,0.79
Begonia_puttii,x,0,0.67,0.85,0.76
Begonia_multangula,x,0,0.67,0.85,0.76
Begonia_pasamanensis,x,0,0.67,0.85,0.76
Begonia_marnieri,x,1,1,0.76,0.88
Begonia_ceratocarpa,10,0,0.73,0.92,0.825
Begonia_homonyma,13,0,0.67,0.91,0.79
Begonia_ovatifolia,x,0,0.49,0.68,0.585
Begonia_elisabethae,x,0,0.62,0.88,0.75
Begonia_klemmei,x,0,0.54,0.72,0.63
Begonia_sinofloribunda,x,0,0.67,0.83,0.75
Begonia_peltata,14,0,0.67,0.9,0.785
Begonia_betsimisaraka,x,1,1,0.86,0.93
Begonia_fuscisetosa,x,0,0.63,0.76,0.695
Begonia_bamaensis,x,0,0.67,0.83,0.75
Begonia_laminariae,11,0,0.67,0.88,0.775
Begonia_purpureofolia,x,0,0.67,0.83,0.75
Begonia_handelii_var._prostrata,x,1,0.89,0.9,0.895
Begonia_obovoidea,x,0,0.67,0.8,0.735
Begonia_crystallina,x,0,0.67,0.86,0.765
Begonia_nelumbiifolia,13,0,0.67,0.88,0.775
Begonia_sutherlandii,13,0,0.67,0.88,0.775
Begonia_mannii,19,1,0.96,0.92,0.94
Begonia_pedatifida,x,0,0.67,0.85,0.76
Begonia_oreodoxa,x,0,0.66,0.81,0.735
Begonia_luxurians,10,0,0.67,0.92,0.795
Begonia_solananthera,28,1,1,0.91,0.955
Begonia_edulis,x,0,0.66,0.84,0.75
Begonia_variegata,x,0,0.67,0.88,0.775
Begonia_malabarica,14,0,0.67,0.91,0.79
Begonia_roxburghii,11,0,0.67,0.87,0.77
Begonia_floccifera,15,0,0.67,0.89,0.78
Begonia_verecunda,x,0,0.36,0.86,0.61
Begonia_ruboides,x,0,0.67,0.83,0.75
Begonia_elaeagnifolia,36,1,0.99,0.88,0.935
Begonia_rex,14,1,0.47,0.89,0.68
Begonia_geranioides,x,0,0.67,0.81,0.74
Begonia_fusialata,x,1,1,0.87,0.935
Begonia_laruei,x,0,0.63,0.78,0.705
Begonia_siccacaudata,x,0,0.66,0.79,0.725
Begonia_grandis_subsp._sinensis,x,0,0.67,0.83,0.75
Begonia_brandisiana,x,NA,0.59,0.71,0.65
Begonia_elmeri,x,0,0.54,0.7,0.62
Begonia_contracta,x,NA,0.48,0.85,0.665
Begonia_burbidgei,x,0,0.65,0.77,0.71
Begonia_lukuana,26,1,0.98,0.91,0.945
Begonia_furfuracea,x,1,1,0.84,0.92
Begonia_capillipes,x,1,1,0.81,0.905
Begonia_labordei,12,0,0.67,0.88,0.775
Begonia_versicolor,11,0,0.67,0.88,0.775
Begonia_integerrima,x,1,0.86,0.86,0.86
Begonia_erythrogyna,x,0,0.63,0.8,0.715
Begonia_semiparietalis,15,0,0.67,0.89,0.78
Begonia_cavallyensis,x,1,1,0.82,0.91
Begonia_beddomei,13,0,0.67,0.92,0.795
Begonia_megalophyllaria,x,0,0.67,0.83,0.75
Begonia_calcicola,x,0,0.51,0.73,0.62
Begonia_xanthina,11,0,0.67,0.89,0.78
Begonia_comestibilis,x,0,0.54,0.85,0.695
Begonia_diadema,11,0,0.67,0.88,0.775
Begonia_arborescens_var._oxyphylla,28,1,0.99,0.91,0.95
Begonia_morsei,x,0,0.67,0.86,0.765
Begonia_leprosa,x,0,0.67,0.8,0.735
Begonia_dregei,13,0,0.67,0.91,0.79
Begonia_luzhaiensis,x,0,0.67,0.81,0.74
Begonia_maynensis,x,0,0.42,0.72,0.57
Begonia_meridensis,x,1,0.43,0.84,0.635
Begonia_alveolata,x,0,0.68,0.88,0.78
Begonia_aptera,11,0,0.67,0.89,0.78
Begonia_rabilii,x,NA,0.62,0.71,0.665
Begonia_picta,11,0,0.67,0.89,0.78
Begonia_cinnabarina,13,0,0.67,0.9,0.785
Begonia_tigrina,x,0,0.67,0.83,0.75
Begonia_conchifolia,14,0,0.67,0.93,0.8
Begonia_symsanguinea,x,1,0.84,0.89,0.865
Begonia_boisiana,15,0,0.67,0.9,0.785
Begonia_baccata,x,1,1,0.88,0.94
Begonia_argenteomarginata,x,NA,0.45,0.83,0.64
Begonia_preussii,x,1,1,0.8,0.9
Begonia_prionota,x,NA,0.36,0.83,0.595
Begonia_alicida,x,0,0.62,0.69,0.655
Begonia_cucurbitifolia,22,1,1,0.88,0.94
Begonia_subscutata,x,1,1,0.84,0.92
Begonia_engleri,12,0,0.68,0.91,0.795
Begonia_longifolia,11,0,0.67,0.88,0.775
Begonia_koordersii,x,0,0.61,0.85,0.73
Begonia_sikkimensis,11,0,0.67,0.89,0.78
Begonia_psilophylla,x,0,0.67,0.78,0.725
Begonia_imperialis,14,0,0.67,0.89,0.78
Begonia_handelii_var._rubropilosa,x,1,0.89,0.9,0.895
Begonia_malachosticta,x,0,0.66,0.78,0.72
Begonia_dewildei,x,1,0.75,0.82,0.785
Begonia_scottii,x,0,0.67,0.85,0.76
Begonia_austrotaiwanensis,19,1,0.87,0.91,0.89
Begonia_mananjebensis,x,1,1,0.77,0.885
Begonia_chitoensis,19,1,0.87,0.88,0.875
Begonia_longistyla,x,0,0.67,0.87,0.77
Begonia_hekouensis,x,0,0.64,0.82,0.73
Begonia_taiwaniana,19,1,0.98,0.89,0.935
Begonia_mashanica,x,0,0.67,0.83,0.75
