Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Centaurea_linifolia,22,1,1,0.99,0.995
Centaurea_boissieri_subsp._willkommii,9,0,1,0.99,0.995
Centaurea_pseudoleucolepis,9,0,1,0.99,0.995
Centaurea_saxicola,30,1,1,0.98,0.99
Centaurea_pungens,11,0,1,0.99,0.995
Centaurea_boissieri,9,0,1,0.99,0.995
Centaurea_inexpectata,11,0,1,0.99,0.995
Centaurea_polyclada,9,0,1,0.99,0.995
Centaurea_carduiformis,10,0,1,0.99,0.995
Centaurea_aristata,18,1,1,0.99,0.995
Centaurea_protomargaritacea,x,0,1,0.98,0.99
Centaurea_poeltiana,18,1,1,0.99,0.995
Centaurea_fenzlii,9,0,1,1,1
Centaurea_boissieri_subsp._transmalvana,x,0,0.97,0.95,0.96
Centaurea_amaena,9,0,1,0.99,0.995
Centaurea_jacea_subsp._gaudinii,22,1,1,0.99,0.995
Centaurea_corymbosa,x,0,0.93,0.98,0.955
Centaurea_pseudomaculosa,9,0,1,0.99,0.995
Centaurea_pulvinata,9,0,1,0.99,0.995
Centaurea_josiae,10,0,1,0.98,0.99
Centaurea_sphaerocephala_subsp._polyacantha,11,0,1,0.99,0.995
Centaurea_cataonica,9,0,1,1,1
Centaurea_scabiosa_subsp._cephalariifolia,20,1,1,0.98,0.99
Centaurea_exarata,11,0,1,0.99,0.995
Centaurea_aplolepa_subsp._lunensis,9,0,1,0.99,0.995
Centaurea_aurea,22,1,0.96,0.99,0.975
Centaurea_stevenii,8,0,1,1,1
Centaurea_aladaghensis,9,0,1,1,1
Centaurea_musakii,9,0,1,0.99,0.995
Centaurea_graeca,10,0,1,0.97,0.985
Centaurea_tuzgoluensis,27,1,0.99,0.99,0.99
Centaurea_nivea,9,0,1,1,1
Centaurea_iberica,10,0,1,1,1
Centaurea_ptosimopappoides,x,0,1,1,1
Centaurea_heldreichii,9,0,1,0.99,0.995
Centaurea_margaritacea,10,0,1,0.99,0.995
Centaurea_busambarensis,9,0,1,0.99,0.995
Centaurea_parlatoris,9,0,1,0.99,0.995
Centaurea_olympica,x,0,0.97,0.99,0.98
Centaurea_hanryi,9,0,1,0.99,0.995
Centaurea_chrysocephala,9,0,1,0.99,0.995
Centaurea_cheirolopha,9,0,1,1,1
Centaurea_aplolepa,9,0,1,0.99,0.995
Centaurea_boissieri_subsp._calvescens,x,0,0.98,0.96,0.97
Centaurea_margarita_alba,x,0,1,0.97,0.985
Centaurea_akamantis,9,0,1,0.99,0.995
Centaurea_phrygia_subsp._stenolepis,11,0,1,1,1
Centaurea_cineraria,9,0,1,0.99,0.995
Centaurea_montana,12,0,1,1,1
Centaurea_filiformis,9,0,1,0.99,0.995
Centaurea_tweediei,x,1,1,0.51,0.755
Centaurea_hermannii,9,0,1,1,1
Centaurea_isaurica,9,0,1,1,1
Centaurea_spinosociliata,18,1,1,0.99,0.995
Centaurea_sagredoi,9,0,1,0.99,0.995
Centaurea_glomerata,10,0,1,1,1
Centaurea_saligna,x,0,0.99,0.99,0.99
Centaurea_sterilis,9,0,1,0.99,0.995
Centaurea_rupestris,10,0,1,0.98,0.99
Centaurea_armena,x,0,0.99,0.98,0.985
Centaurea_toletana,25,1,1,0.98,0.99
Centaurea_floccosa,x,1,1,0.51,0.755
Centaurea_luristanica,10,0,1,0.99,0.995
Centaurea_amadanensis,9,0,1,1,1
Centaurea_thracica,9,0,1,1,1
Centaurea_pelia,9,0,1,0.99,0.995
Centaurea_veneris,9,0,1,0.99,0.995
Centaurea_niederi,9,0,1,0.99,0.995
Centaurea_xylobasis,9,0,1,1,1
Centaurea_collina,30,1,1,0.99,0.995
Centaurea_resupinata_subsp._simulans,9,0,1,0.99,0.995
Centaurea_tommasinii,18,1,1,1,1
Centaurea_alba_subsp._tartesiana,18,1,1,0.99,0.995
Centaurea_cadmea,9,0,1,0.99,0.995
Centaurea_kurdica,9,0,1,1,1
Centaurea_horrida,9,0,1,0.99,0.995
Centaurea_debdouensis,x,0,0.99,0.98,0.985
Centaurea_ebenoides,10,0,1,0.97,0.985
Centaurea_hyssopifolia,11,0,1,0.99,0.995
Centaurea_gabrielis_blancae,x,0,0.98,0.95,0.965
Centaurea_diluta,10,0,1,0.99,0.995
Centaurea_antalyensis,x,0,0.95,0.92,0.935
Centaurea_delucae,9,0,1,0.99,0.995
Centaurea_antitauri,8,0,1,1,1
Centaurea_dichroa,x,0,0.92,0.97,0.945
Centaurea_schousboei,9,0,1,0.99,0.995
Centaurea_aggregata,9,0,1,0.99,0.995
Centaurea_subciliaris,18,1,1,0.99,0.995
Centaurea_resupinata_subsp._lagascae,9,0,1,0.99,0.995
Centaurea_japygica,9,0,1,0.99,0.995
Centaurea_spectabilis,9,0,1,1,1
Centaurea_saccensis,x,0,0.93,0.97,0.95
Centaurea_wagenitzii,9,0,1,0.99,0.995
Centaurea_ulrichiorum,x,0,1,0.98,0.99
Centaurea_cankiriensis,9,0,1,1,1
Centaurea_napifolia,11,0,1,0.99,0.995
Centaurea_diffusa,9,0,1,0.98,0.99
Centaurea_sivasica,9,0,1,0.99,0.995
Centaurea_resupinata,9,0,1,0.99,0.995
Centaurea_ragusina,10,0,1,0.99,0.995
Centaurea_messenicolasiana,9,0,1,0.99,0.995
Centaurea_tenacissima,9,0,1,0.99,0.995
Centaurea_aplolepa_subsp._subciliata,9,0,1,0.99,0.995
Centaurea_poculatoris,9,0,1,0.99,0.995
Centaurea_semijusta,18,1,1,0.99,0.995
Centaurea_grisebachii,18,1,1,0.99,0.995
Centaurea_pinetorum,x,0,0.87,0.97,0.92
Centaurea_austroanatolica,x,0,0.89,0.97,0.93
Centaurea_aeolica_subsp._pandataria,x,0,0.98,0.96,0.97
Centaurea_crocata,20,1,1,0.99,0.995
Centaurea_leucophaea,9,0,1,0.99,0.995
Centaurea_filiformis_subsp._ferulacea,9,0,1,0.99,0.995
Centaurea_scabiosa,10,0,1,0.98,0.99
Centaurea_patula,7,0,1,0.99,0.995
