Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Crotalaria_argyraea,8,0,1,0.98,0.99
Crotalaria_rogersii,x,0,1,0.97,0.985
Crotalaria_flavicarinata,x,0,1,0.91,0.955
Crotalaria_virgulata_subsp._grantiana,8,0,1,1,1
Crotalaria_mudugensis,x,0,1,0.94,0.97
Crotalaria_obscura,x,0,1,0.91,0.955
Crotalaria_capensis,7,0,1,0.99,0.995
Crotalaria_uncinella,x,0,0.99,0.95,0.97
Crotalaria_linearifoliolata,x,0,1,0.79,0.895
Crotalaria_juncea,8,0,1,0.99,0.995
Crotalaria_dewildemaniana,8,0,1,0.99,0.995
Crotalaria_adolfi,x,0,1,0.93,0.965
Crotalaria_monophylla,x,0,1,0.89,0.945
Crotalaria_pumila,16,1,1,1,1
Crotalaria_mauensis,7,0,1,0.99,0.995
Crotalaria_globifera,x,0,1,0.99,0.995
Crotalaria_acicularis,x,0,0.5,0.94,0.72
Crotalaria_ochroleuca,8,0,1,0.99,0.995
Crotalaria_massaiensis,16,1,1,0.99,0.995
Crotalaria_grevei,x,0,1,0.94,0.97
Crotalaria_colorata_subsp._erecta,8,0,1,0.99,0.995
Crotalaria_cleomifolia,8,0,1,1,1
Crotalaria_spectabilis,8,0,1,1,1
Crotalaria_sphaerocarpa,8,0,1,0.99,0.995
Crotalaria_ephemera,x,0,1,0.96,0.98
Crotalaria_keniensis,x,0,1,0.98,0.99
Crotalaria_steudneri,x,0,0.99,0.95,0.97
Crotalaria_emarginata,x,0,1,0.98,0.99
Crotalaria_gazensis,x,0,1,0.9,0.95
Crotalaria_annua,x,0,1,0.97,0.985
Crotalaria_ulbrichiana,x,0,1,0.91,0.955
Crotalaria_laburnifolia_subsp._australis,8,0,1,0.99,0.995
Crotalaria_eremicola,x,0,1,0.9,0.95
Crotalaria_fascicularis,x,0,1,0.89,0.945
Crotalaria_lotoides,x,0,1,0.9,0.95
Crotalaria_impressa,8,0,1,0.99,0.995
Crotalaria_duboisii,x,0,1,0.97,0.985
Crotalaria_axillaris,x,0,1,0.85,0.925
Crotalaria_pallidicaulis,x,0,1,0.93,0.965
Crotalaria_verrucosa,8,0,1,0.99,0.995
Crotalaria_pseudotenuirama,x,0,1,0.98,0.99
Crotalaria_deserticola,8,0,1,0.99,0.995
Crotalaria_smithiana,x,0,1,0.94,0.97
Crotalaria_maypurensis,8,0,1,0.99,0.995
Crotalaria_heidmannii,x,0,1,0.95,0.975
Crotalaria_agatiflora_subsp._imperialis,8,0,1,0.99,0.995
Crotalaria_cephalotes,8,0,1,0.99,0.995
Crotalaria_lukwangulensis,x,0,1,0.95,0.975
Crotalaria_diosmifolia,x,0,1,0.95,0.975
Crotalaria_purshii,16,1,1,0.99,0.995
Crotalaria_laxiflora,8,0,1,0.99,0.995
Crotalaria_podocarpa,8,0,1,0.99,0.995
Crotalaria_obtecta,x,0,0.97,0.97,0.97
