Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Croton_wigginsii,14,1,0.75,0.98,0.865
Croton_troncosoi,x,0,1,0.97,0.985
Croton_lindheimerianus,x,0,1,0.97,0.985
Croton_microcarpus,x,0,1,0.73,0.865
Croton_breedlovei,x,0,1,0.76,0.88
Croton_bredemeyeri,x,0,1,0.81,0.905
Croton_nummulariifolius,x,0,0.83,0.8,0.815
Croton_texensis,x,1,0.79,0.95,0.87
Croton_hirtus,8,0,1,1,1
Croton_vitifolius,x,0,1,0.91,0.955
Croton_liebmannii,x,0,0.99,0.86,0.925
Croton_floccosus,x,0,1,0.8,0.9
Croton_michauxii,x,0,1,0.77,0.885
Croton_flavens,x,0,1,0.88,0.94
Croton_mayarum,x,0,1,0.82,0.91
Croton_leptostachyus,x,0,0.56,0.92,0.74
Croton_boiteaui,x,0,1,0.97,0.985
Croton_pedicellatus,x,0,1,0.74,0.87
Croton_subpannosus,10,0,1,0.99,0.995
Croton_wallichii,x,0,1,0.98,0.99
Croton_cajucara,x,0,1,0.8,0.9
Croton_thomasii,x,0,0.99,0.84,0.915
Croton_grisebachianus,x,0,1,0.96,0.98
Croton_mazapensis_var._obtusifolius,x,0,1,0.91,0.955
Croton_setiger,x,0,0.79,0.9,0.845
Croton_virletianus,x,0,1,0.88,0.94
Croton_alagoensis,x,0,0.79,0.85,0.82
Croton_corylifolius,x,0,1,0.84,0.92
Croton_conspurcatus,x,0,1,0.94,0.97
Croton_acapulcensis,x,0,1,0.81,0.905
Croton_flaviglandulosus,x,0,1,0.85,0.925
Croton_oerstedianus,x,0,1,0.83,0.915
Croton_microtiglium,x,0,1,0.93,0.965
Croton_malambo,x,0,1,0.81,0.905
Croton_macrodontus,x,0,0.99,0.87,0.93
Croton_euryphyllus,x,0,1,0.9,0.95
Croton_emporiorum,x,0,0.85,0.8,0.825
Croton_coriifolius,x,0,1,0.86,0.93
Croton_draco,x,0,1,0.83,0.915
Croton_dioicus,14,1,0.75,0.98,0.865
Croton_stellatopilosus,10,0,1,1,1
Croton_columnaris,x,0,1,0.97,0.985
Croton_trinitatis,x,0,0.92,0.79,0.855
Croton_xalapensis,x,0,0.56,0.92,0.74
Croton_billbergianus,x,0,1,0.9,0.95
Croton_caudatus,10,0,1,0.99,0.995
Croton_pseudofragrans,x,0,1,0.79,0.895
Croton_linearifolius,x,0,1,0.7,0.85
Croton_heterocalyx,x,0,1,0.81,0.905
Croton_suyapensis,x,0,1,0.9,0.95
Croton_elliottii,x,0,1,0.91,0.955
Croton_monanthogynus,8,0,1,0.99,0.995
Croton_sellowii,x,0,1,0.77,0.885
Croton_caracasanus,x,0,1,0.89,0.945
Croton_mexicanus,x,0,1,0.82,0.91
Croton_campanulatus,x,0,1,0.82,0.91
Croton_trichotomus,x,0,1,0.9,0.95
Croton_rimbachii,x,0,1,0.84,0.92
Croton_pungens,x,0,0.56,0.91,0.735
Croton_decalvatus,x,0,1,0.98,0.99
Croton_alabamensis,x,0,1,0.86,0.93
Croton_payaquensis,x,0,1,0.88,0.94
Croton_soratensis,x,1,0.94,0.99,0.965
Croton_megalodendron,x,0,0.79,0.75,0.77
Croton_serratifolius,x,0,1,0.79,0.895
Croton_fragrans,x,0,1,0.81,0.905
Croton_lindheimeri,x,NA,0.48,0.95,0.715
Croton_jimenezii,x,0,1,0.83,0.915
Croton_pulcher,x,0,1,0.89,0.945
Croton_piptocalyx,x,0,1,0.85,0.925
Croton_chilensis,x,0,0.56,0.94,0.75
Croton_kongkandanus,x,0,1,0.98,0.99
Croton_chimboracensis,x,0,1,0.81,0.905
Croton_argyratus,x,0,1,0.87,0.935
Croton_floribundus,x,0,1,0.78,0.89
Croton_pottsii,20,1,0.99,0.98,0.985
Croton_morifolius,x,0,1,0.88,0.94
Croton_heteranthus,x,0,1,0.93,0.965
Croton_ovalifolius,x,0,0.83,0.85,0.84
Croton_laceratoglandulosus,x,0,1,0.85,0.925
Croton_decalobus,x,0,1,0.83,0.915
Croton_palanostigma,x,0,0.79,0.75,0.77
Croton_domatifer,x,0,1,0.77,0.885
Croton_redolens,x,0,1,0.81,0.905
Croton_coriaceus,x,0,1,0.83,0.915
Croton_itzaeus,x,0,1,0.85,0.925
Croton_minimus,x,0,1,0.89,0.945
Croton_varelae,x,0,0.99,0.81,0.9
Croton_hoffmannii,x,0,1,0.87,0.935
Croton_jacobinensis,x,0,1,0.91,0.955
Croton_lasiopetaloides,x,0,1,0.92,0.96
Croton_goudotii,x,0,1,0.94,0.97
Croton_sarcopetalus,32,1,0.94,1,0.97
Croton_louvelii,x,0,1,0.92,0.96
Croton_noronhae,x,0,1,0.9,0.95
Croton_burchellii,x,0,1,0.75,0.875
Croton_tricolor,x,0,1,0.94,0.97
Croton_websteri,x,0,1,0.92,0.96
Croton_guianensis,x,0,1,0.75,0.875
Croton_cordiifolius,x,0,0.97,0.74,0.855
Croton_triqueter,x,0,1,0.96,0.98
Croton_santaritensis,x,0,1,0.94,0.97
Croton_origanifolius,x,0,0.63,0.92,0.775
Croton_alchorneicarpus,x,0,1,0.79,0.895
Croton_socotranus,x,0,1,0.89,0.945
Croton_poilanei,10,0,1,1,1
Croton_caboensis,x,0,1,0.87,0.935
Croton_ameliae,x,0,1,0.81,0.905
Croton_nobilis,x,0,1,0.94,0.97
Croton_masonii,x,0,1,0.79,0.895
Croton_chrysodaphne,x,0,1,0.9,0.95
Croton_pottsii_var._thermophilus,x,1,0.73,0.94,0.835
Croton_craspedotrichus,x,NA,0.56,0.9,0.73
Croton_roraimensis,x,0,1,0.84,0.92
Croton_robustus,10,0,1,1,1
Croton_argyranthemus,x,0,0.47,0.9,0.685
Croton_manampetsae,x,0,1,0.9,0.95
Croton_gratissimus,x,0,1,0.9,0.95
Croton_velutinus,x,0,0.83,0.87,0.85
Croton_hircinus,x,0,1,0.74,0.87
Croton_smithianus,x,0,0.79,0.74,0.765
Croton_ater,x,0,1,0.87,0.935
Croton_fruticulosus,x,0,1,0.84,0.92
Croton_myricifolius,x,0,1,0.88,0.94
Croton_antisyphiliticus,x,0,0.65,0.7,0.675
Croton_fantzianus,x,0,1,0.79,0.895
Croton_adenophyllus,x,0,1,0.89,0.945
Croton_yucatanensis,x,0,1,0.79,0.895
Croton_pycnocephalus,x,0,1,0.95,0.975
Croton_piluliferus,x,0,1,0.81,0.905
Croton_ferrugineus,x,0,0.56,0.93,0.745
Croton_verreauxii,x,0,1,0.95,0.975
Croton_chamelensis,x,0,1,0.87,0.935
Croton_cuneatus,x,0,0.79,0.85,0.82
Croton_miarensis,x,0,1,0.97,0.985
Croton_hemiargyreus,x,0,1,0.79,0.895
Croton_curiosus,x,0,0.56,0.91,0.735
Croton_abutiloides,x,0,0.56,0.94,0.75
Croton_glandulosepalus,x,0,1,0.82,0.91
Croton_californicus,14,1,0.75,0.98,0.865
Croton_catamarcensis,x,0,1,0.95,0.975
Croton_morifolius_var._sphaerocarpus,x,0,1,0.85,0.925
Croton_spruceanus,x,0,1,0.8,0.9
Croton_sutup,x,0,1,0.8,0.9
Croton_ortholobus,x,0,1,0.88,0.94
Croton_ruizianus,32,1,0.93,1,0.965
Croton_medusae,x,0,1,0.8,0.9
Croton_beetlei,x,0,1,0.85,0.925
Croton_brittonianus,x,0,1,0.89,0.945
Croton_sapiifolius,x,0,1,0.85,0.925
Croton_conduplicatus,x,0,1,0.89,0.945
Croton_lachnocarpus,x,0,1,0.9,0.95
Croton_acutifolius,x,0,1,0.96,0.98
Croton_oreades,x,0,1,0.88,0.94
Croton_cupreatus,x,0,1,0.79,0.895
Croton_micans,x,0,1,0.81,0.905
Croton_willdenowii,x,0,1,0.77,0.885
Croton_sampatik,x,0,1,0.85,0.925
Croton_yecorensis,x,0,1,0.88,0.94
Croton_sphaerogynus,x,0,1,0.82,0.91
Croton_yavitensis,x,0,1,0.83,0.915
Croton_niveus,x,0,1,0.8,0.9
Croton_polyandrus,x,0,1,0.83,0.915
Croton_speciosus,x,0,1,0.83,0.915
Croton_suberosus,x,0,1,0.89,0.945
Croton_mongue,x,0,1,0.94,0.97
Croton_schiedeanus,x,0,1,0.89,0.945
Croton_discolor,x,0,0.63,0.91,0.77
Croton_bonplandianus,10,0,1,1,1
Croton_gynopetalus,x,0,1,0.88,0.94
Croton_tonduzii,x,0,1,0.85,0.925
Croton_dichrous,x,0,1,0.81,0.905
Croton_capitatus,x,0,1,0.88,0.94
Croton_crassifolius,x,0,1,0.9,0.95
Croton_ciliatoglandulifer,10,0,1,1,1
Croton_orinocensis,x,0,1,0.91,0.955
Croton_maestrensis,x,0,1,0.86,0.93
Croton_corinthius,x,0,1,0.88,0.94
Croton_heterochrous,x,0,1,0.9,0.95
Croton_argyrophyllus,x,0,1,0.87,0.935
Croton_eichleri,x,0,0.91,0.74,0.825
Croton_francoanus,x,0,1,0.91,0.955
Croton_rottlerifolius,x,0,1,0.85,0.925
Croton_humilis,x,0,1,0.88,0.94
Croton_reflexifolius,x,0,1,0.77,0.885
Croton_paludosus,x,0,0.83,0.79,0.81
Croton_martinianus,x,0,1,0.94,0.97
Croton_sousae,x,0,1,0.79,0.895
Croton_persimilis,10,0,1,1,1
Croton_urucurana,x,0,1,0.82,0.91
Croton_organensis,x,0,1,0.78,0.89
Croton_watsonii,x,0,1,0.78,0.89
Croton_magdalenensis,x,0,1,0.81,0.905
Croton_fragrantulus,x,0,1,0.86,0.93
Croton_tabascensis,x,0,1,0.75,0.875
Croton_purdiei,x,0,1,0.82,0.91
Croton_hypoleucus,x,0,1,0.9,0.95
Croton_chocoanus,x,0,0.79,0.73,0.76
Croton_quercetorum,x,0,1,0.85,0.925
Croton_laurinus,x,0,1,0.72,0.86
Croton_poecilanthus,x,0,1,0.87,0.935
Croton_heptalon,x,NA,0.48,0.96,0.72
Croton_argenteus,x,0,1,0.99,0.995
Croton_pendens,x,0,1,0.83,0.915
Croton_lucidus,x,0,1,0.8,0.9
Croton_klotzschianus,10,0,1,1,1
Croton_crocodilorum,x,0,1,0.91,0.955
Croton_tiglium,10,0,1,1,1
Croton_pachypodus,x,0,0.89,0.71,0.8
Croton_astroites,x,0,1,0.83,0.915
Croton_lanatus_var._tatacuensis,x,0,0.85,0.83,0.84
Croton_sancti_lazari,x,0,1,0.91,0.955
Croton_guatemalensis,x,0,1,0.88,0.94
Croton_luetzelburgii,x,0,0.79,0.85,0.82
Croton_parksii,x,1,0.79,0.97,0.88
Croton_lagoensis,x,0,1,0.81,0.905
