Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Hypericum_elegans,16,1,1,1,1
Hypericum_epigeium,x,0,1,0.96,0.98
Hypericum_majus,8,0,1,1,1
Hypericum_atomarium,8,0,1,1,1
Hypericum_densiflorum,8,0,1,1,1
Hypericum_pseudomaculatum,8,0,1,1,1
Hypericum_dogonbadanicum,x,0,1,0.87,0.935
Hypericum_wilsonii,x,NA,0.85,0.78,0.815
Hypericum_senanense,8,0,1,1,1
Hypericum_foliosum,x,1,0.97,0.99,0.98
Hypericum_japonicum,8,0,1,0.99,0.995
Hypericum_hircinum_subsp._majus,x,1,0.97,0.96,0.965
Hypericum_bithynicum,7,0,1,1,1
Hypericum_balfourii,x,0,1,0.9,0.95
Hypericum_vulcanicum,x,0,0.86,0.84,0.85
Hypericum_reflexum,9,0,1,1,1
Hypericum_lycopodioides,x,NA,0.62,0.94,0.78
Hypericum_bellum,x,0,0.6,0.99,0.795
Hypericum_afrum,x,0,0.96,0.94,0.95
Hypericum_erectum_var._caespitosum,8,0,1,1,1
Hypericum_montbretii,7,0,1,1,1
Hypericum_gramineum,8,0,1,1,1
Hypericum_petiolulatum,x,0,1,0.95,0.975
Hypericum_costaricense,x,1,0.53,0.91,0.72
Hypericum_cistifolium,9,0,1,1,1
Hypericum_scopulorum,x,NA,0.87,0.53,0.7
Hypericum_vacciniifolium,x,NA,0.84,0.58,0.71
Hypericum_attenuatum,8,0,1,1,1
Hypericum_leschenaultii,x,0,0.84,0.99,0.915
Hypericum_piriai,x,0,1,0.98,0.99
Hypericum_myrianthum_subsp._tamariscinum,x,NA,0.82,0.76,0.79
Hypericum_irazuense,12,1,1,1,1
Hypericum_jeongjocksanense,x,0,1,0.91,0.955
Hypericum_hookerianum,7,0,1,1,1
Hypericum_linoides,x,NA,0.73,0.82,0.775
Hypericum_kiusianum,x,0,1,0.97,0.985
Hypericum_coadunatum,9,0,1,1,1
Hypericum_prolificum,9,0,1,0.99,0.995
Hypericum_lalandii,x,0,1,0.97,0.985
Hypericum_lancioides,x,1,0.53,0.93,0.73
Hypericum_elongatum,x,0,0.96,0.96,0.96
Hypericum_calycinum,10,0,1,0.96,0.98
Hypericum_strictum,x,1,0.5,0.92,0.71
Hypericum_hartwegii,x,NA,0.62,0.88,0.75
Hypericum_caprifolium,8,0,1,0.99,0.995
Hypericum_rochelii,x,0,1,0.99,0.995
Hypericum_scioanum,8,0,1,1,1
Hypericum_aucheri,8,0,1,1,1
Hypericum_acmosepalum,x,1,0.51,1,0.755
Hypericum_linarioides,9,0,1,1,1
Hypericum_gleasonii,x,0,0.63,0.84,0.735
Hypericum_bequaertii,x,0,0.77,0.98,0.875
Hypericum_linariifolium,8,0,1,1,1
Hypericum_elodeoides,8,0,1,1,1
Hypericum_ascyron,9,0,1,0.99,0.995
Hypericum_maclarenii,x,0,1,0.99,0.995
Hypericum_tetrapterum,8,0,1,1,1
Hypericum_rigidum,x,NA,0.73,0.8,0.765
Hypericum_setosum,x,0,0.52,0.82,0.67
Hypericum_glandulosum,9,0,1,1,1
Hypericum_terrae_firmae,x,0,0.68,0.91,0.795
Hypericum_mexicanum,x,0,0.63,0.84,0.735
Hypericum_lagarocladum,x,0,0.57,0.98,0.775
Hypericum_quartinianum,8,0,1,1,1
Hypericum_chejuense,x,0,1,1,1
Hypericum_tubulosum,x,1,0.7,0.41,0.555
Hypericum_oaxacanum,x,0,0.99,0.93,0.96
Hypericum_bellum_subsp._latisepalum,x,0,0.56,0.98,0.77
Hypericum_androsaemum,20,1,0.97,0.99,0.98
Hypericum_thuyoides,x,0,0.6,0.78,0.69
Hypericum_choisianum,x,1,0.54,0.96,0.75
Hypericum_hyssopifolium,x,0,0.97,0.99,0.98
Hypericum_graveolens,16,1,1,1,1
Hypericum_wardianum,x,0,0.51,0.95,0.73
Hypericum_campestre,x,NA,0.72,0.83,0.775
Hypericum_Amoserianum,x,0,0.85,0.96,0.905
Hypericum_kouytchense,18,1,1,1,1
Hypericum_perforatum_subsp._chinense,x,0,0.82,0.94,0.88
Hypericum_hakonense,8,0,1,1,1
Hypericum_cardonae,x,NA,0.62,0.91,0.765
Hypericum_podocarpoides,x,0,0.69,0.98,0.835
Hypericum_gracillimum,x,0,1,0.98,0.99
Hypericum_subsessile,x,0,0.65,1,0.825
Hypericum_perfoliatum,7,0,1,1,1
Hypericum_coris,9,0,1,1,1
Hypericum_monogynum,21,1,1,1,1
Hypericum_senanense_subsp._mutiloides,8,0,1,1,1
Hypericum_ericoides,x,0,1,0.93,0.965
