Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Mimosa_strobiliflora,x,0,1,0.88,0.94
Mimosa_decorticans,x,0,1,0.88,0.94
Mimosa_irrigua,x,1,1,0.52,0.76
Mimosa_dicerastes,x,0,1,0.87,0.935
Mimosa_tenuiflora,13,0,1,0.96,0.98
Mimosa_rufescens,x,1,1,0.53,0.765
Mimosa_dalyi,x,0,1,0.86,0.93
Mimosa_auriculata,x,0,1,0.8,0.9
Mimosa_atlantica,x,1,0.46,0.81,0.635
Mimosa_prainiana,x,0,1,0.93,0.965
Mimosa_woodii,x,0,1,0.78,0.89
Mimosa_rhodocarpa,x,1,1,0.92,0.96
Mimosa_dormiens,x,0,0.88,0.77,0.825
Mimosa_coniflora,x,1,0.46,0.79,0.625
Mimosa_quitensis,x,1,1,0.6,0.8
Mimosa_hondurana,x,1,1,0.72,0.86
Mimosa_vilersii,x,0,1,0.81,0.905
Mimosa_uliginosa,13,0,1,0.94,0.97
Mimosa_modesta,x,0,1,0.81,0.905
Mimosa_grandidieri,x,0,1,0.82,0.91
Mimosa_xanthocentra_var._subsericea,x,0,0.98,0.75,0.865
Mimosa_orthacantha,x,1,0.72,0.85,0.785
Mimosa_deamii,x,0,0.91,0.84,0.875
Mimosa_orbignyana,x,0,0.98,0.81,0.895
Mimosa_montana,x,1,1,0.59,0.795
Mimosa_adamantina,x,1,0.46,0.8,0.63
Mimosa_obovata,13,0,1,0.96,0.98
Mimosa_cyclophylla,x,0,1,0.86,0.93
Mimosa_polydidyma,x,0,0.93,0.78,0.855
Mimosa_callithrix,x,0,1,0.87,0.935
Mimosa_sensitiva,13,0,1,0.93,0.965
Mimosa_mossambicensis,x,0,1,0.84,0.92
Mimosa_polydactyla,x,1,0.71,0.81,0.76
Mimosa_luisana,x,1,1,0.88,0.94
Mimosa_pteridifolia,x,0,1,0.92,0.96
Mimosa_weberbaueri,x,1,1,0.59,0.795
Mimosa_minarum,x,NA,0.99,0.53,0.76
Mimosa_jacobita,x,0,0.98,0.75,0.865
Mimosa_acantholoba_var._eurycarpa,x,1,1,0.7,0.85
Mimosa_daleoides,52,1,1,0.94,0.97
Mimosa_rusbyana,x,0,1,0.78,0.89
Mimosa_sicyocarpa,x,0,0.91,0.81,0.86
Mimosa_caesalpiniifolia,13,0,1,0.96,0.98
Mimosa_sinaloensis,x,1,1,0.88,0.94
Mimosa_onilahensis,x,0,1,0.83,0.915
Mimosa_sousae,x,0,0.91,0.84,0.875
Mimosa_lanuginosa,x,0,1,0.84,0.92
Mimosa_oligosperma,x,0,1,0.87,0.935
Mimosa_psoralea,x,0,1,0.8,0.9
Mimosa_martindelcampoi,x,1,1,0.69,0.845
Mimosa_hypoglauca,x,0,1,0.87,0.935
Mimosa_aculeaticarpa,26,1,1,0.95,0.975
Mimosa_malacophylla,x,1,1,0.7,0.85
Mimosa_humivagans,x,0,1,0.86,0.93
Mimosa_fachinalensis,x,1,0.46,0.77,0.615
Mimosa_callidryas,x,1,0.46,0.81,0.635
Mimosa_orthocarpa,x,0,1,0.74,0.87
Mimosa_ervendbergii,x,1,1,0.71,0.855
Mimosa_oblonga,x,1,0.46,0.79,0.625
Mimosa_aurivillus_var._calothamnos,x,1,0.75,0.87,0.81
Mimosa_monancistra,x,1,1,0.87,0.935
Mimosa_guatemalensis,x,1,1,0.93,0.965
Mimosa_laniceps,x,0,1,0.89,0.945
Mimosa_revoluta,x,1,1,0.66,0.83
Mimosa_delicatula,x,0,1,0.8,0.9
Mimosa_costenya,x,1,1,0.9,0.95
Mimosa_honesta,x,0,1,0.78,0.89
Mimosa_hexandra,x,1,1,0.58,0.79
Mimosa_depauperata,x,1,1,0.91,0.955
Mimosa_polycarpa,13,0,1,0.93,0.965
Mimosa_papposa,x,0,1,0.83,0.915
Mimosa_latispinosa,x,0,1,0.83,0.915
Mimosa_brevipetiolata_var._hirtula,26,1,1,0.93,0.965
Mimosa_per_dusenii,x,1,0.46,0.82,0.64
