Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Oxalis_barrelieri,12,1,1,0.96,0.98
Oxalis_divergens,x,0,0.77,0.98,0.875
Oxalis_dumetorum,6,0,1,0.99,0.995
Oxalis_debilis,14,1,1,0.98,0.99
Oxalis_rhombeo_ovata,x,1,0.68,0.82,0.75
Oxalis_nortieri,x,1,0.91,0.82,0.865
Oxalis_monophylla,x,NA,0.99,0.89,0.94
Oxalis_adenophylla,14,1,1,0.97,0.985
Oxalis_recticaulis,x,0,0.79,0.88,0.835
Oxalis_stenopetala,x,NA,1,0.87,0.935
Oxalis_morenoensis,x,1,0.63,0.96,0.795
Oxalis_nelsonii,7,0,1,0.99,0.995
Oxalis_imbricata,x,NA,0.83,0.9,0.865
Oxalis_ortgiesii,7,1,0.53,0.97,0.75
Oxalis_oculifera,x,1,0.56,0.84,0.7
Oxalis_depressa,x,1,0.93,0.88,0.905
Oxalis_dillenii,12,1,1,0.98,0.99
Oxalis_convexula,x,1,0.91,0.85,0.88
Oxalis_ambigua,x,1,1,0.93,0.965
Oxalis_sarmentosa,5,0,1,0.98,0.99
Oxalis_andina,8,1,0.54,0.97,0.755
Oxalis_rusbyi,x,1,0.69,0.93,0.81
Oxalis_oreocharis,x,NA,1,0.94,0.97
Oxalis_stenoptera,x,NA,0.99,0.89,0.94
Oxalis_divaricata,x,1,0.86,0.81,0.835
Oxalis_viscosa,x,1,0.69,0.84,0.765
Oxalis_goniorhiza,x,0,0.77,0.84,0.805
Oxalis_tenella,x,NA,0.79,0.85,0.82
Oxalis_levis,x,0,1,0.88,0.94
Oxalis_camelopardalis,x,1,0.54,0.87,0.705
Oxalis_fourcadei,x,1,0.89,0.9,0.895
Oxalis_teneriensis,8,1,0.54,0.97,0.755
Oxalis_perdicaria,14,1,1,0.98,0.99
Oxalis_creaseyi,x,0,0.85,0.91,0.88
Oxalis_cinerea,x,1,1,0.84,0.92
Oxalis_floribunda,7,0,1,0.96,0.98
Oxalis_incarnata,7,0,1,0.97,0.985
Oxalis_bifurca,x,1,0.52,0.87,0.695
Oxalis_amblyosepala,x,NA,1,0.85,0.925
Oxalis_adspersa,x,NA,0.99,0.88,0.935
Oxalis_oligophylla,x,NA,0.71,0.86,0.785
Oxalis_virgosa,x,1,0.65,0.89,0.77
Oxalis_linearis,x,NA,0.82,0.86,0.84
Oxalis_smithiana,x,1,0.52,0.83,0.675
Oxalis_pycnophylla,x,1,0.9,0.87,0.885
Oxalis_droseroides,x,0,0.79,0.88,0.835
Oxalis_valdiviensis,9,1,0.6,0.97,0.785
Oxalis_ptychoclada,8,1,0.54,0.97,0.755
Oxalis_lanata,x,1,0.52,0.86,0.69
Oxalis_acetosella,11,1,1,0.99,0.995
Oxalis_pendulifolia,x,NA,0.64,0.88,0.76
Oxalis_melanosticta,x,1,1,0.88,0.94
Oxalis_pallens,x,0,0.98,0.9,0.94
Oxalis_lasiandra,7,0,1,0.98,0.99
Oxalis_attaquana,x,1,0.88,0.86,0.87
Oxalis_laxa_var._hispidissima,x,1,0.93,0.84,0.885
Oxalis_comosa,x,1,0.8,0.84,0.82
Oxalis_rigida,x,1,0.82,0.9,0.86
Oxalis_argyrophylla,x,0,0.99,0.92,0.955
Oxalis_primuloides,x,0,1,0.97,0.985
Oxalis_massoniana,x,1,0.55,0.87,0.71
Oxalis_caprina,10,1,1,0.98,0.99
Oxalis_debilis_var._corymbosa,14,1,1,0.96,0.98
Oxalis_paranaensis,x,0,1,0.95,0.975
Oxalis_dilatata,x,1,0.93,0.86,0.895
Oxalis_grammophylla,x,1,0.55,0.89,0.72
Oxalis_boliviana,x,1,0.75,0.93,0.84
Oxalis_pseudocernua,x,1,0.51,0.87,0.69
Oxalis_violacea,14,1,1,0.98,0.99
Oxalis_hygrophila,x,1,0.52,0.83,0.675
Oxalis_aridicola,x,NA,0.82,0.87,0.845
Oxalis_stellata,x,1,0.69,0.93,0.81
Oxalis_articulata_subsp._rubra,7,0,1,0.96,0.98
Oxalis_lasiorrhiza,x,NA,0.51,0.85,0.68
Oxalis_compacta,x,1,0.78,0.93,0.855
Oxalis_dolichopoda,x,1,0.72,0.94,0.83
Oxalis_rosea,6,0,1,0.97,0.985
Oxalis_punctata,x,NA,0.52,0.83,0.675
Oxalis_tetraphylla,28,1,1,0.98,0.99
Oxalis_adenodes,x,1,1,0.88,0.94
Oxalis_eriolepis,x,0,1,0.96,0.98
Oxalis_peduncularis,8,1,0.54,0.97,0.755
Oxalis_disticha,x,NA,0.99,0.88,0.935
Oxalis_clavifolia,x,NA,0.89,0.88,0.885
Oxalis_sellowiana_f._alba,x,0,0.76,0.95,0.855
Oxalis_nidulans,x,NA,0.93,0.81,0.87
Oxalis_bipartita,21,1,1,0.99,0.995
Oxalis_squamata,9,1,0.6,0.97,0.785
Oxalis_grammopetala,x,1,0.92,0.9,0.91
Oxalis_galeottii,7,0,1,0.98,0.99
Oxalis_megalorrhiza,7,1,0.54,0.97,0.755
Oxalis_aurea,x,0,0.96,0.93,0.945
Oxalis_furcillata,x,NA,0.77,0.9,0.835
Oxalis_ebracteata,x,NA,0.85,0.86,0.855
Oxalis_discolor,x,NA,0.63,0.94,0.785
Oxalis_obtusa,x,NA,0.93,0.89,0.91
Oxalis_phaeotricha,16,1,1,0.97,0.985
Oxalis_sanmiguelii_subsp._urubambensis,8,1,0.54,0.97,0.755
Oxalis_zeekoevleyensis,x,1,1,0.73,0.865
Oxalis_leptocalyx,x,0,0.78,0.85,0.815
Oxalis_psammophila,x,1,0.48,0.88,0.68
Oxalis_dimidiata,7,0,1,0.98,0.99
Oxalis_annae,x,1,0.95,0.73,0.84
Oxalis_tomentosa,x,NA,0.7,0.86,0.78
Oxalis_setosa,x,1,0.88,0.84,0.86
Oxalis_falcatula,x,1,0.7,0.81,0.755
Oxalis_exserta,x,0,0.85,0.96,0.905
Oxalis_nahuelhuapiensis,x,1,0.77,0.92,0.845
Oxalis_giftbergensis,x,NA,0.82,0.89,0.855
Oxalis_heterophylla,x,1,0.9,0.85,0.875
Oxalis_phloxidiflora,x,NA,0.99,0.9,0.945
Oxalis_multicaulis,x,0,0.79,0.89,0.84
Oxalis_stricta,12,1,1,0.98,0.99
Oxalis_truncatula,21,1,1,0.97,0.985
Oxalis_triangularis,14,1,1,0.98,0.99
Oxalis_dregei,x,NA,0.95,0.85,0.9
Oxalis_palmifrons,x,1,0.52,0.88,0.7
Oxalis_orthopoda,x,1,0.52,0.89,0.705
Oxalis_orbicularis,x,1,0.58,0.83,0.705
Oxalis_squarrosa,x,1,0.95,0.88,0.915
Oxalis_gracilipes,x,NA,0.54,0.9,0.72
Oxalis_bulbocastanum,x,1,0.68,0.89,0.785
Oxalis_refracta,5,0,1,0.98,0.99
Oxalis_linarantha,x,1,0.96,0.95,0.955
Oxalis_saltusbelli,x,NA,0.7,0.82,0.76
Oxalis_meisneri,x,0,0.54,0.9,0.72
Oxalis_densa,x,1,0.91,0.82,0.865
Oxalis_natans,x,0,0.94,0.88,0.91
Oxalis_crispula,x,1,1,0.93,0.965
Oxalis_leptogramma,x,1,0.54,0.86,0.7
Oxalis_flava,x,NA,0.99,0.83,0.91
Oxalis_engleriana,x,NA,0.97,0.8,0.885
Oxalis_foveolata,x,1,0.92,0.9,0.91
Oxalis_inconspicua,x,NA,0.72,0.87,0.795
Oxalis_strigosa,x,1,0.52,0.88,0.7
Oxalis_loricata,x,1,1,0.85,0.925
Oxalis_blastorrhiza,x,NA,0.52,0.92,0.72
Oxalis_longissima,x,1,0.57,0.96,0.765
Oxalis_oreophila,x,NA,0.79,0.87,0.83
Oxalis_hernandezii,7,0,1,0.98,0.99
Oxalis_argillacea,x,NA,0.82,0.91,0.865
Oxalis_burkei,x,NA,0.8,0.88,0.84
