Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Passiflora_amoena,x,1,1,0.88,0.94
Passiflora_sandrae,x,0,1,0.92,0.96
Passiflora_cobanensis,6,0,1,0.99,0.995
Passiflora_deidamioides,x,NA,0.95,0.67,0.81
Passiflora_cremastantha,x,1,0.85,0.93,0.89
Passiflora_bracteosa,x,1,0.7,0.95,0.825
Passiflora_contracta,x,NA,0.95,0.7,0.825
Passiflora_rovirosae,6,0,1,0.99,0.995
Passiflora_edulis,9,1,1,0.99,0.995
Passiflora_tarminiana,9,1,1,0.99,0.995
Passiflora_complanata,x,0,1,0.9,0.95
Passiflora_tonkinensis,x,NA,0.73,0.79,0.76
Passiflora_luetzelburgii,x,1,0.95,0.97,0.96
Passiflora_linda,x,0,0.73,0.9,0.815
Passiflora_jilekii,9,1,1,0.99,0.995
Passiflora_harlingii,x,0,0.73,0.89,0.81
Passiflora_manicata,9,1,1,0.99,0.995
Passiflora_anadenia,x,0,1,0.99,0.995
Passiflora_lancearia,x,0,1,0.86,0.93
Passiflora_arborea,x,1,1,0.95,0.975
Passiflora_filipes,x,NA,0.73,0.83,0.78
Passiflora_lobata,x,0,1,0.9,0.95
Passiflora_viridescens,x,NA,0.68,0.61,0.645
Passiflora_lancetillensis,x,1,1,0.92,0.96
Passiflora_trisecta,x,NA,0.51,0.9,0.705
Passiflora_miersii,9,1,1,0.99,0.995
Passiflora_serratifolia,x,1,0.97,0.9,0.935
Passiflora_elegans,9,1,1,0.99,0.995
Passiflora_sagasteguii,x,NA,0.6,0.82,0.71
Passiflora_bicornis,6,0,1,0.99,0.995
Passiflora_ornithoura,x,0,1,0.91,0.955
Passiflora_laurifolia,9,1,1,0.99,0.995
Passiflora_villosa,x,1,1,0.95,0.975
Passiflora_variolata,x,1,1,0.95,0.975
Passiflora_truncata,x,NA,0.61,0.78,0.695
Passiflora_mendoncaei,x,1,1,0.96,0.98
Passiflora_solomonii,x,NA,0.6,0.81,0.705
Passiflora_caerulea,9,1,1,1,1
Passiflora_kwangtungensis,x,NA,0.73,0.8,0.765
Passiflora_murucuja,x,0,0.58,0.9,0.74
Passiflora_loefgrenii,x,1,1,0.96,0.98
Passiflora_obovata,x,NA,0.9,0.75,0.825
Passiflora_punctata,x,0,1,0.91,0.955
Passiflora_misera,6,0,1,0.99,0.995
Passiflora_costaricensis,6,0,1,1,1
Passiflora_bicrura,x,0,1,0.96,0.98
Passiflora_helleri,x,0,0.48,0.91,0.695
