Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Ranunculus_fallax,16,1,1,1,1
Ranunculus_marginatus,8,0,1,1,1
Ranunculus_acris_subsp._borealis,14,1,1,1,1
Ranunculus_polyrhizos,x,NA,0.84,0.93,0.885
Ranunculus_venetus,16,1,1,1,1
Ranunculus_chilensis,x,1,1,0.86,0.93
Ranunculus_rubrocalyx,x,NA,0.58,0.89,0.735
Ranunculus_heterorrhizus,x,NA,0.48,0.97,0.725
Ranunculus_creticus,8,0,1,1,1
Ranunculus_papyrocarpus,x,1,0.98,0.8,0.89
Ranunculus_sphaerospermus,8,0,1,1,1
Ranunculus_cupreus,x,NA,0.54,0.9,0.72
Ranunculus_sewerzowii,x,1,0.98,0.77,0.875
Ranunculus_auricomus,16,1,1,1,1
Ranunculus_glaberrimus,64,1,1,1,1
Ranunculus_circinatus,8,0,1,1,1
Ranunculus_bullatus,8,0,1,1,1
Ranunculus_pseudomillefoliatus,x,0,0.89,0.98,0.935
Ranunculus_viridis,x,1,1,0.99,0.995
Ranunculus_alpestris_subsp._traunfellneri,8,0,1,1,1
Ranunculus_spicatus,8,0,1,1,1
Ranunculus_multiscapus,8,0,1,1,1
Ranunculus_pinardii,x,1,0.68,0.74,0.71
Ranunculus_lappaceus,8,0,1,1,1
Ranunculus_makaluensis,x,1,0.98,0.82,0.9
Ranunculus_lanuginosus,14,1,1,1,1
Ranunculus_millanii,8,0,1,1,1
Ranunculus_jacuticus,14,1,1,1,1
Ranunculus_paludosus,16,1,1,1,1
Ranunculus_macounii,16,1,1,1,1
Ranunculus_hybridus,8,0,1,1,1
Ranunculus_rigescens,14,1,0.96,1,0.98
Ranunculus_cassubicus,16,1,1,1,1
Ranunculus_arcticus,x,0,0.64,0.96,0.8
Ranunculus_petiolaris,32,1,1,1,1
Ranunculus_gramineus,8,0,1,1,1
Ranunculus_godleyanus,24,1,1,1,1
Ranunculus_pedatifidus,8,0,1,1,1
Ranunculus_crenatus,8,0,1,1,1
Ranunculus_ophioglossifolius,8,0,1,1,1
Ranunculus_ageri,x,NA,0.51,0.9,0.705
Ranunculus_termei,x,1,0.98,0.83,0.905
Ranunculus_cheirophyllus,x,1,0.71,0.87,0.79
Ranunculus_aquatilis,24,1,1,1,1
Ranunculus_marschlinsii,x,0,0.83,0.97,0.9
Ranunculus_calandrinioides,8,0,1,1,1
Ranunculus_pygmaeus,8,0,1,1,1
Ranunculus_pensylvanicus,8,0,1,1,1
Ranunculus_carpaticola,16,1,1,1,1
Ranunculus_caprarum,x,1,1,0.92,0.96
Ranunculus_Aluizetii,x,1,0.65,0.98,0.815
Ranunculus_aucheri,x,1,0.98,0.83,0.905
Ranunculus_allegheniensis,8,0,1,1,1
Ranunculus_psilostachys,8,0,1,1,1
Ranunculus_hydrophilus,x,1,0.99,0.99,0.99
Ranunculus_apenninus,8,0,1,1,1
Ranunculus_brotherusii_var._tanguticus,16,1,1,1,1
Ranunculus_monophyllus,16,1,1,1,1
Ranunculus_californicus,14,1,1,1,1
Ranunculus_hungaricus,x,0,0.44,0.98,0.71
Ranunculus_prasinus,24,1,1,1,1
Ranunculus_seguieri,8,0,1,1,1
Ranunculus_recens,24,1,1,1,1
Ranunculus_villarsii,x,0,0.64,0.96,0.8
Ranunculus_brachylobus,x,NA,0.53,0.86,0.695
Ranunculus_oreophytus,16,1,1,1,1
Ranunculus_gracilipes,24,1,1,1,1
Ranunculus_sericeus,7,0,1,1,1
Ranunculus_trichophyllus,16,1,1,1,1
Ranunculus_amurensis,x,1,1,0.65,0.825
Ranunculus_sardous,8,0,1,1,1
Ranunculus_flagelliformis,24,1,1,1,1
Ranunculus_cortusifolius,8,0,1,1,1
Ranunculus_pseudohirculus,x,0,0.52,0.98,0.75
Ranunculus_punctatus,24,1,1,1,1
Ranunculus_pollinensis,16,1,1,1,1
Ranunculus_millefoliatus,8,0,1,1,1
Ranunculus_turneri,14,1,0.99,1,0.995
Ranunculus_lowii,x,NA,0.82,0.9,0.86
Ranunculus_trullifolius,x,1,1,0.71,0.855
Ranunculus_silerifolius,8,0,1,1,1
Ranunculus_septentrionalis,32,1,1,1,1
Ranunculus_pseudolowii,x,NA,0.82,0.9,0.86
Ranunculus_chius,7,0,1,1,1
Ranunculus_laetus,14,1,1,1,1
Ranunculus_niphophilus,8,0,1,1,1
Ranunculus_saruwagedicus,x,NA,0.82,0.89,0.855
Ranunculus_arvensis,16,1,1,1,1
Ranunculus_cappadocicus,8,0,1,1,1
Ranunculus_sojakii,12,1,1,1,1
Ranunculus_peduncularis,16,1,1,1,1
Ranunculus_haastii,24,1,1,1,1
Ranunculus_adoxifolius,x,NA,0.72,0.95,0.835
Ranunculus_japonicus_var._propinquus,14,1,1,1,1
Ranunculus_neapolitanus,8,0,1,1,1
Ranunculus_argyreus,x,1,0.41,0.97,0.69
Ranunculus_macranthus,16,1,1,1,1
Ranunculus_cornutus,x,0,0.78,0.95,0.865
