Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Rhododendron_multinervium,x,0,1,0.96,0.98
Rhododendron_polyanthemum,x,0,1,0.93,0.965
Rhododendron_apoanum,13,0,1,1,1
Rhododendron_fuyuanense,x,1,0.46,0.94,0.7
Rhododendron_maxwellii,x,0,1,0.98,0.99
Rhododendron_sarcodes,x,0,1,0.95,0.975
Rhododendron_henryi_var._dunnii,x,0,1,0.94,0.97
Rhododendron_scabrum,x,0,1,0.94,0.97
Rhododendron_hemsleyanum,x,0,1,0.88,0.94
Rhododendron_beesianum,x,0,1,0.99,0.995
Rhododendron_tsurugisanense,x,0,1,0.96,0.98
Rhododendron_primuliflorum,x,0,0.8,0.96,0.88
Rhododendron_adinophyllum,x,0,0.75,0.88,0.815
Rhododendron_nivale,x,0,0.56,0.95,0.755
Rhododendron_lowei,x,0,1,0.98,0.99
Rhododendron_haofui,x,0,1,0.98,0.99
Rhododendron_retusum,x,0,0.82,0.88,0.85
Rhododendron_flammeum,13,0,1,1,1
Rhododendron_wallichii,13,0,1,1,1
Rhododendron_trichanthum,x,0,1,0.91,0.955
Rhododendron_dayaoshanense,x,0,1,0.98,0.99
Rhododendron_arenicola,x,0,1,0.89,0.945
Rhododendron_maius,x,0,1,0.95,0.975
Rhododendron_rushforthii,13,0,1,1,1
Rhododendron_keleticum,x,1,0.77,0.99,0.88
Rhododendron_longistylum,x,0,0.99,0.88,0.935
Rhododendron_hainanense,x,0,1,0.96,0.98
Rhododendron_beanianum,x,0,1,0.97,0.985
Rhododendron_micranthum,13,0,1,0.99,0.995
Rhododendron_lochae,13,0,1,1,1
Rhododendron_alborugosum,x,0,1,0.99,0.995
Rhododendron_sanguineum_var._didymum,x,0,0.99,0.96,0.975
Rhododendron_orthocladum,x,0,0.99,0.93,0.96
Rhododendron_nanophyton,x,0,0.82,0.98,0.9
Rhododendron_traillianum_var._dictyotum,x,0,1,0.99,0.995
Rhododendron_jasminiflorum,13,0,1,1,1
Rhododendron_forrestii,x,0,1,0.98,0.99
Rhododendron_inundatum,13,0,1,1,1
Rhododendron_nudipes,x,0,1,0.88,0.94
Rhododendron_tuba,13,0,1,1,1
