Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Senecio_arnicoides,x,1,0.88,0.86,0.87
Senecio_madagascariensis,20,1,1,1,1
Senecio_descoingsii,x,NA,0.94,0.62,0.78
Senecio_melastomifolius,x,1,0.56,0.66,0.61
Senecio_laetus,20,1,1,1,1
Senecio_polypodioides,x,1,1,0.94,0.97
Senecio_algens,x,1,0.98,0.84,0.91
Senecio_oerstedianus,20,1,1,1,1
Senecio_aegyptius,20,1,1,1,1
Senecio_nemorensis,20,1,1,1,1
Senecio_abbreviatus,x,0,0.97,0.92,0.945
Senecio_glaucus_subsp._coronopifolius,10,0,1,1,1
Senecio_bathurstianus,30,1,1,1,1
Senecio_leucanthemifolius,10,0,1,1,1
Senecio_pubigerus,x,0,0.92,0.89,0.905
Senecio_deferens,20,1,1,1,1
Senecio_medley_woodii,x,0,1,0.89,0.945
Senecio_paulsenii,x,1,1,0.68,0.84
Senecio_meuselii,x,0,0.53,0.77,0.65
Senecio_laxus,x,1,0.71,0.64,0.675
Senecio_nevadensis_subsp._malacitanus,20,1,1,1,1
Senecio_decurrens,x,NA,0.67,0.49,0.58
Senecio_hederiformis,x,1,0.55,0.7,0.625
Senecio_montevidensis,x,1,1,0.85,0.925
Senecio_squalidus_subsp._rupestris,10,0,1,1,1
Senecio_hypsobates,x,1,1,0.87,0.935
Senecio_lemmonii,20,1,1,1,1
Senecio_junceus,x,NA,0.7,0.6,0.65
Senecio_mairetianus,20,1,1,1,1
Senecio_crassissimus,10,0,1,1,1
Senecio_scandens,10,0,1,1,1
Senecio_pinnulatus,x,0,0.82,0.79,0.805
Senecio_franchetii,x,1,1,0.69,0.845
Senecio_ertterae,20,1,1,1,1
Senecio_panduriformis,x,NA,0.67,0.51,0.59
Senecio_marotiri,40,1,1,1,1
Senecio_anethifolius,30,1,0.99,1,0.995
Senecio_scopolii_subsp._floccosus,20,1,1,1,1
Senecio_varicosus,10,0,1,1,1
Senecio_polyanthemoides,x,0,0.59,0.85,0.72
