Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Silene_longipetala,24,1,1,1,1
Silene_turkestanica,x,0,1,0.98,0.99
Silene_saxifraga,12,0,1,1,1
Silene_songarica,48,1,1,1,1
Silene_auriculata,12,0,1,1,1
Silene_elisabethae,12,0,1,1,1
Silene_argaea,x,0,1,0.99,0.995
Silene_caesia,12,0,1,1,1
Silene_bourgaei,12,0,1,1,1
Silene_nodulosa,12,0,1,1,1
Silene_italica_subsp._coutinhoi,12,0,1,1,1
Silene_portensis,12,0,1,1,1
Silene_villosa,12,0,1,1,1
Silene_schafta,12,0,1,1,1
Silene_struthioloides,12,0,1,1,1
Silene_reticulata,x,0,0.96,0.97,0.965
Silene_gazulensis,x,0,1,0.96,0.98
Silene_nivalis,12,0,1,1,1
Silene_pseudoatocion,12,0,1,1,1
Silene_gallica,12,0,1,1,1
Silene_repens,12,0,1,1,1
Silene_williamsii,12,0,1,1,1
Silene_tanakae,x,0,0.83,0.99,0.91
Silene_ammophila,10,0,1,1,1
Silene_sibirica,12,0,1,1,1
Silene_chungtienensis,x,1,0.51,0.97,0.74
Silene_austroiranica,x,0,0.91,0.93,0.92
Silene_pentelica,12,0,1,1,1
Silene_sedoides,12,0,1,1,1
Silene_yemensis,x,0,1,0.98,0.99
Silene_acaulis,12,0,1,1,1
Silene_scouleri_subsp._pringlei,30,1,0.95,1,0.975
Silene_latifolia,12,0,1,1,1
Silene_echinosperma,x,0,1,0.96,0.98
Silene_italica_subsp._nemoralis,12,0,1,1,1
Silene_echinospermoides,x,NA,0.94,0.92,0.93
Silene_tatarica,12,0,1,1,1
Silene_patula,12,0,1,1,1
Silene_italica,12,0,1,1,1
Silene_conica_subsp._subconica,10,0,1,1,1
Silene_jeniseensis,12,0,1,1,1
Silene_involucrata,24,1,1,1,1
Silene_odontopetala,12,0,1,1,1
Silene_erysimifolia,x,0,0.84,0.96,0.9
Silene_longicilia,12,0,1,1,1
Silene_armeria,12,0,1,1,1
Silene_spergulifolia,12,0,1,1,1
Silene_dioica,12,0,1,1,1
Silene_bupleuroides,12,0,1,1,1
Silene_portensis_subsp._rigidula,12,0,1,1,1
Silene_regia,24,1,0.99,1,0.995
Silene_brevistaminea,x,0,0.91,0.98,0.945
Silene_parryi,24,1,0.99,1,0.995
Silene_behen,12,0,1,1,1
Silene_succulenta,12,0,1,1,1
Silene_caroliniana_subsp._wherryi,24,1,1,1,1
Silene_salicifolia,x,1,0.7,0.97,0.835
Silene_vallesia,24,1,0.99,1,0.995
Silene_coniflora,10,0,1,1,1
Silene_conoidea,10,0,1,1,1
Silene_andicola,x,1,0.98,0.99,0.985
Silene_gonosperma,x,0,0.65,0.95,0.8
Silene_suksdorfii,24,1,0.99,1,0.995
Silene_mollissima,12,0,1,1,1
Silene_oregana,24,1,1,1,1
Silene_filipetala,x,0,0.71,0.94,0.825
Silene_macrodonta,10,0,1,1,1
Silene_lemmonii,24,1,0.98,1,0.99
Silene_fruticosa,12,0,1,1,1
Silene_radicosa_subsp._rechingeri,x,0,1,0.99,0.995
Silene_otites,12,0,1,1,1
Silene_mellifera,12,0,1,1,1
Silene_schwarzenbergii,12,0,1,1,1
Silene_imbricata,12,0,1,1,1
Silene_dichotoma,12,0,1,1,1
Silene_mandonii,x,1,0.99,0.99,0.99
Silene_chubutensis,x,1,0.97,0.98,0.975
Silene_linearis,12,0,1,1,1
Silene_davidii,x,1,0.51,0.96,0.735
Silene_leyseroides,x,0,0.74,0.95,0.845
Silene_acutifolia,x,0,0.47,0.87,0.67
Silene_noctiflora,12,0,1,1,1
Silene_flos_jovis,x,0,0.66,0.9,0.78
Silene_perlmanii,x,0,1,0.98,0.99
Silene_flavescens,12,0,1,1,1
Silene_chloropetala,x,0,0.79,0.97,0.88
Silene_ciliata,18,1,1,1,1
Silene_coronaria,12,0,1,1,1
Silene_lagrangei,x,NA,0.78,0.85,0.815
Silene_cappadocica,24,1,1,1,1
Silene_moorcroftiana,24,1,1,1,1
Silene_rothmaleri,x,0,1,0.99,0.995
Silene_cordifolia,12,0,1,1,1
Silene_pogonocalyx,12,0,1,1,1
Silene_wolgensis,12,0,1,1,1
Silene_cuatrecasasii,x,0,0.64,0.92,0.78
Silene_insularis,12,0,1,1,1
Silene_kialensis,x,1,0.65,0.97,0.81
Silene_martyi,12,0,1,1,1
Silene_vulgaris_subsp._angustifolia,12,0,1,1,1
Silene_virginica,24,1,1,1,1
Silene_meyeri,12,0,1,1,1
Silene_dinarica,12,0,1,1,1
Silene_subciliata,24,1,0.99,1,0.995
Silene_scaposa,24,1,0.99,1,0.995
Silene_douglasii_var._oraria,x,1,0.98,1,0.99
Silene_caespitella,x,1,0.62,0.96,0.79
Silene_involucrata_subsp._tenella,24,1,0.98,1,0.99
Silene_tunicoides,x,0,0.9,1,0.95
Silene_bellidifolia,12,0,1,1,1
Silene_yetii,x,0,0.65,0.96,0.805
Silene_stellata,24,1,1,1,1
Silene_heuffelii,12,0,1,1,1
Silene_roemeri,12,0,1,1,1
Silene_melanantha,x,0,0.46,0.97,0.715
Silene_nigrescens,x,0,0.73,0.97,0.85
Silene_antirrhina,12,0,1,1,1
Silene_gracilicaulis,x,0,0.95,1,0.975
Silene_littorea,12,0,1,1,1
Silene_drummondii,24,1,1,1,1
Silene_baccifera,12,0,1,1,1
Silene_viridiflora,12,0,1,1,1
Silene_violascens,12,0,1,1,1
Silene_lydia,x,NA,0.61,0.95,0.78
